[2025-06-25 07:52:24] Задержка перед запуском: 1 сек
[2025-06-25 07:52:25] Приём по UART запущен
[2025-06-25 10:36:50] Пакет ID 1750829810 сохранён
[2025-06-25 10:37:20] Пакет ID 1750829840 сохранён
[2025-06-25 10:37:50] Пакет ID 1750829870 сохранён
[2025-06-25 10:38:20] Пакет ID 1750829900 сохранён
[2025-06-25 10:38:50] Пакет ID 1750829930 сохранён
[2025-06-25 10:39:20] Пакет ID 1750829960 сохранён
[2025-06-25 10:39:50] Пакет ID 1750829990 сохранён
[2025-06-25 10:40:20] Пакет ID 1750830020 сохранён
[2025-06-25 10:40:50] Пакет ID 1750830050 сохранён
[2025-06-25 10:41:20] Пакет ID 1750830080 сохранён
[2025-06-25 10:41:50] Пакет ID 1750830110 сохранён
[2025-06-25 10:42:20] Пакет ID 1750830140 сохранён
[2025-06-25 10:42:50] Пакет ID 1750830170 сохранён
[2025-06-25 10:43:20] Пакет ID 1750830200 сохранён
[2025-06-25 10:43:50] Пакет ID 1750830230 сохранён
[2025-06-25 10:44:20] Пакет ID 1750830260 сохранён
[2025-06-25 10:44:50] Пакет ID 1750830290 сохранён
[2025-06-25 10:45:20] Пакет ID 1750830320 сохранён
[2025-06-25 10:45:50] Пакет ID 1750830350 сохранён
[2025-06-25 10:46:20] Пакет ID 1750830380 сохранён
[2025-06-25 10:46:50] Пакет ID 1750830410 сохранён
[2025-06-25 10:47:20] Пакет ID 1750830440 сохранён
[2025-06-25 10:47:50] Пакет ID 1750830470 сохранён
[2025-06-25 10:48:20] Пакет ID 1750830500 сохранён
[2025-06-25 10:48:50] Пакет ID 1750830530 сохранён
[2025-06-25 10:49:20] Пакет ID 1750830560 сохранён
[2025-06-25 10:49:50] Пакет ID 1750830590 сохранён
[2025-06-25 10:50:20] Пакет ID 1750830620 сохранён
[2025-06-25 10:50:50] Пакет ID 1750830650 сохранён
[2025-06-25 10:51:20] Пакет ID 1750830680 сохранён
[2025-06-25 10:51:50] Пакет ID 1750830710 сохранён
[2025-06-25 10:52:20] Пакет ID 1750830740 сохранён
[2025-06-25 10:52:50] Пакет ID 1750830770 сохранён
[2025-06-25 10:53:20] Пакет ID 1750830800 сохранён
[2025-06-25 10:53:50] Пакет ID 1750830830 сохранён
[2025-06-25 10:54:20] Пакет ID 1750830860 сохранён
[2025-06-25 10:54:50] Пакет ID 1750830890 сохранён
[2025-06-25 10:55:20] Пакет ID 1750830920 сохранён
[2025-06-25 10:55:50] Пакет ID 1750830950 сохранён
[2025-06-25 10:56:20] Пакет ID 1750830980 сохранён
[2025-06-25 10:56:50] Пакет ID 1750831010 сохранён
[2025-06-25 10:57:20] Пакет ID 1750831040 сохранён
[2025-06-25 10:57:50] Пакет ID 1750831070 сохранён
[2025-06-25 10:58:20] Пакет ID 1750831100 сохранён
[2025-06-25 10:58:50] Пакет ID 1750831130 сохранён
[2025-06-25 10:59:21] Пакет ID 1750831160 сохранён
[2025-06-25 10:59:51] Пакет ID 1750831190 сохранён
[2025-06-25 11:00:21] Пакет ID 1750831220 сохранён
[2025-06-25 11:00:51] Пакет ID 1750831250 сохранён
[2025-06-25 11:01:21] Пакет ID 1750831280 сохранён
[2025-06-25 11:01:51] Пакет ID 1750831310 сохранён
[2025-06-25 11:02:21] Пакет ID 1750831340 сохранён
[2025-06-25 11:02:51] Пакет ID 1750831370 сохранён
[2025-06-25 11:03:21] Пакет ID 1750831400 сохранён
[2025-06-25 11:03:51] Пакет ID 1750831430 сохранён
[2025-06-25 11:04:21] Пакет ID 1750831460 сохранён
[2025-06-25 11:04:51] Пакет ID 1750831490 сохранён
[2025-06-25 11:05:21] Пакет ID 1750831520 сохранён
[2025-06-25 11:05:51] Пакет ID 1750831550 сохранён
[2025-06-25 11:06:21] Пакет ID 1750831580 сохранён
[2025-06-25 11:06:51] Пакет ID 1750831610 сохранён
[2025-06-25 11:07:21] Пакет ID 1750831640 сохранён
[2025-06-25 11:07:51] Пакет ID 1750831670 сохранён
[2025-06-25 11:08:21] Пакет ID 1750831700 сохранён
[2025-06-25 11:08:51] Пакет ID 1750831730 сохранён
[2025-06-25 11:09:21] Пакет ID 1750831760 сохранён
[2025-06-25 11:09:51] Пакет ID 1750831790 сохранён
[2025-06-25 11:10:21] Пакет ID 1750831820 сохранён
[2025-06-25 11:10:51] Пакет ID 1750831850 сохранён
[2025-06-25 11:11:21] Пакет ID 1750831880 сохранён
[2025-06-25 11:11:51] Пакет ID 1750831910 сохранён
[2025-06-25 11:12:21] Пакет ID 1750831940 сохранён
[2025-06-25 11:12:51] Пакет ID 1750831970 сохранён
[2025-06-25 11:13:21] Пакет ID 1750832000 сохранён
[2025-06-25 11:13:51] Пакет ID 1750832030 сохранён
[2025-06-25 11:14:21] Пакет ID 1750832060 сохранён
[2025-06-25 11:14:51] Пакет ID 1750832090 сохранён
[2025-06-25 11:15:21] Пакет ID 1750832120 сохранён
[2025-06-25 11:15:51] Пакет ID 1750832150 сохранён
[2025-06-25 11:16:21] Пакет ID 1750832180 сохранён
[2025-06-25 11:16:51] Пакет ID 1750832210 сохранён
[2025-06-25 11:17:21] Пакет ID 1750832240 сохранён
[2025-06-25 11:17:51] Пакет ID 1750832270 сохранён
[2025-06-25 11:18:21] Пакет ID 1750832300 сохранён
[2025-06-25 11:18:51] Пакет ID 1750832330 сохранён
[2025-06-25 11:19:21] Пакет ID 1750832360 сохранён
[2025-06-25 11:19:51] Пакет ID 1750832391 сохранён
[2025-06-25 11:20:21] Пакет ID 1750832421 сохранён
[2025-06-25 11:20:51] Пакет ID 1750832451 сохранён
[2025-06-25 11:21:21] Пакет ID 1750832481 сохранён
[2025-06-25 11:21:51] Пакет ID 1750832511 сохранён
[2025-06-25 11:22:21] Пакет ID 1750832541 сохранён
[2025-06-25 11:22:51] Пакет ID 1750832571 сохранён
[2025-06-25 11:23:21] Пакет ID 1750832601 сохранён
[2025-06-25 11:23:51] Пакет ID 1750832631 сохранён
[2025-06-25 11:24:21] Пакет ID 1750832661 сохранён
[2025-06-25 11:24:51] Пакет ID 1750832691 сохранён
[2025-06-25 11:25:21] Пакет ID 1750832721 сохранён
[2025-06-25 11:25:51] Пакет ID 1750832751 сохранён
[2025-06-25 11:26:21] Пакет ID 1750832781 сохранён
[2025-06-25 11:26:51] Пакет ID 1750832811 сохранён
[2025-06-25 11:27:21] Пакет ID 1750832841 сохранён
[2025-06-25 11:27:51] Пакет ID 1750832871 сохранён
[2025-06-25 11:28:21] Пакет ID 1750832901 сохранён
[2025-06-25 11:28:51] Пакет ID 1750832931 сохранён
[2025-06-25 11:29:21] Пакет ID 1750832961 сохранён
[2025-06-25 11:29:51] Пакет ID 1750832991 сохранён
[2025-06-25 11:30:21] Пакет ID 1750833021 сохранён
[2025-06-25 11:30:51] Пакет ID 1750833051 сохранён
[2025-06-25 11:31:21] Пакет ID 1750833081 сохранён
[2025-06-25 11:31:51] Пакет ID 1750833111 сохранён
[2025-06-25 11:32:21] Пакет ID 1750833141 сохранён
[2025-06-25 11:32:51] Пакет ID 1750833171 сохранён
[2025-06-25 11:33:21] Пакет ID 1750833201 сохранён
[2025-06-25 11:33:51] Пакет ID 1750833231 сохранён
[2025-06-25 11:34:21] Пакет ID 1750833261 сохранён
[2025-06-25 11:34:51] Пакет ID 1750833291 сохранён
